의료기관명,주소,대표 전화번호
강남구보건소,서울 강남구 삼성동(삼성2동) 8 강남구보건소,02-3423-5555
삼성서울병원,서울 강남구 일원로81 삼성서울병원,02-3410-0543
강남세브란스병원,서울 강남구 언주로211 강남세브란스병원,02-1599-6114
강동구보건소,서울 강동구 성내동 541-2,02-3425-6713
중앙보훈병원,서울 강동구 진황도로 61길 53,02-2225-1114
강동경희대병원,서울시 강동구 동남로 892,02-440-7000
강동성심병원,서울시 강동구 성안로 150,1588-4100
강북구보건소,서울 강북구 번제2동 232 강북보건소 ,02-901-7704.7706
강서구보건소,서울 강서구 염창동 275-12 강서보건소,02-2600-5465
이화여자대학교 서울병원,서울 강서구 공항대로 260,1522-7000
관악구보건소,서울 관악구 청룡동 1570-1 ,02-879-6000
에이치플러스양지병원,서울특별시 관악구 남부순환로 1636,1877-8875
광진구보건소,서울특별시 광진구 자양1동 777,02-450-1937
건국대학교병원,서울특별시 광진구 능동로 120-1,02-1588-1533
구로구보건소,"서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터, 구로구보건소",02-860-2012
고대구로병원,구로동로 148,02-2626-1554
구로성심병원,경인로 427,02-2067-1500
금천구보건소,서울 금천구 시흥제1동 1020 금천구보건소 ,02-2627-2717
희명병원,서울특별시 금천구 시흥대로 244,02-2219-7231
노원구보건소,"서울 노원구 상계6.7동 노원구보건소, 701-1",02-2116-3000
노원을지대학교병원,서울 노원구 한글비석로 68,02-970-8000
상계백병원,서울 노원구 동일로 1342,02-950-1114
도봉구보건소,서울 도봉구 쌍문동 565,02-2091-4434
한일병원,서울시 도봉구 우이천로 308(쌍문동) ,02-901-3114
동대문구보건소,서울 동대문구 용두동 39-9 ,02-2127-4283
삼육서울병원,서울 동대문구 망우로 82,1577-3675
서울특별시동부병원,서울 동대문구 무학로 124 ,920-9435/9119
서울성심병원,서울 동대문구 왕산로 259,966-1616
경희의료원,서울 동대문구 경희대로 23,958-8114
동작구보건소,서울 동작구 상도2동 176-3,02-820-9465
서울특별시 보라매병원,동작구 보라매로5길 20,02-870-2114
서울특별시 중앙대학교 병원,서울특별시 동작구 흑석로 102,1800-1114
마포구보건소,서울 마포구 성산동 370,02-3153-9037
서대문구보건소,서울 서대문구 연희동  연희로242 (연희동 165-2),02-330-1806
세브란스병원,연세로 50-1,1599-1004
서울중구보건소,서울 중구 신당동 50-5 중구보건소  ,02-3396-5181
인제대학교서울백병원,서울 중구 마른내로 9 백병원,02-2270-0114
국립중앙의료원,중구 을지로 245,02-2260-7114
서초구보건소,서울 서초구 서초동(서초2동) 1376-3 서초구청 보건소,02-2155-8093
서울특별시 어린이병원,서울특별시 서초구 헌릉로 260,02-570-8000
성동구보건소,서울 성동구 홍익동 (왕십리도선동) 16-15 성동구보건소 ,02-2286-7172
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8114
성동군자의원,서울특별시 성동구 광나루로 323 송정빌딩 2층,02-499-7785
성북구보건소,서울 성북구 월곡제2동 46-1 성북구보건소 ,02-2241-5912
고려대학교의료원안암병원,고려대로73(안암동 5가),1577-0083
송파구보건소,"서울 송파구 신천동 29-5 송파구청, 보건소 ",02-2147-3479
서울아산병원,올림픽로43길 88,02-3010-3114
경찰병원,송이로 123,02-3400-1114
양천구보건소,서울 양천구 신정동(신정6동) 321-5 양천보건소,02-2620-3856
이화여자대학교의과대학부속목동병원,서울 양천구 안양천로 1071 ,02-1666-5000
서울특별시 서남병원,양천구 신정이펜1로 20,1566-6688
홍익병원,서울 양천구 목동로 225 ,02-2693-5555
영등포구보건소,서울 영등포구 당산동3가(당산제1동) 385-1 영등포구청 영등포구보건소,02-2670-4953
한림대학교 강남성심병원,서울특별시 영등포구 신길로 1,1577-5587
의료법인 성애병원,서울특별시 영등포구 여의대방로 53길22,02-840-7115
가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,1661-7575
인봉의료재단 영등포병원,서울특별시 영등포구 당산로31길 10,010-5334-7708
용산구보건소,서울 용산구 이태원동 34-87,02-2199-8373~6
순천향대학교서울병원,용산구 대사관로 59(한남동),02-709-9114
은평구보건소,서울 은평구 녹번동 84 은평구종합청사 은평구보건소,02-351-8640~1
가톨릭대학교 은평성모병원,은평구 통일로1021,1811-7755
서울특별시서북병원,은평구 갈현로7길 49,02-3156-3022
서울특별시은평병원,은평구 백련산로 90,02-300-8060
의료법인 청구성심병원,서울 은평구 통일로 873,02-383-0129
종로구보건소,서울 종로구 옥인동(청운효자동) 45-30 종로구보건소,02-2148-3725
강북삼성병원,서울시 종로구 평동 108,02-2001-1896
서울적십자병원,서울시 종로구 평동 164,02-2002-8650
중랑구보건소,서울 중랑구 신내2동 662 중랑구청 ,02-2094-0800
서울의료원,중랑구 신내로 156,02-2276-8333
녹색병원,중랑구 사가정로 49길 53,02-490-2000
