r_si,r_gu,r_name,r_address
서울특별시,강동구,연풍민락,서울특별시 강동구 천호대로157길18
서울특별시,강동구,분홍다이닝,서울특별시 강동구 천호대로157길18
서울특별시,강동구,부타,서울특별시 강동구 천호대로 155길11
서울특별시,강동구,태능숯불갈비,서울특별시 강동구 올림픽로 812
서울특별시,강동구,자화성맛집코다리네명일점,서울특별시 강동구 양재대로147길8
서울특별시,강동구,자화성맛집코다리네,서울특별시 강동구 양재대로1500-7
서울특별시,강동구,우양우,서울특별시 강동구 천호옛14길36
서울특별시,강동구,암사고바우집,서울특별시 강동구 올림픽로 812
서울특별시,강동구,순남시래기,서울특별시 강동구 천호대로197길84 
서울특별시,강동구,방이샤브샤브칼국수,서울특별시 강동구 올림픽로 804
서울특별시,강동구,강천민물장어,서울특별시 강동구 고덕로 52
서울특별시,강동구,한솔냉면,서울특별시 강동구 천호대로1005
서울특별시,강동구,장터순대국감자탕,서울특별시 강동구 성내로6길20
서울특별시,강동구,본가스시,서울특별시 강동구 천호대로1005
서울특별시,강동구,마드레,서울특별시 강동구 동남로710
서울특별시,강동구,꼬꼬c참숯불갈비,서울특별시 강동구 구천면로248
서울특별시,강동구,화포식당고덕점,서울특별시 강동구 동남로73길26
서울특별시,강동구,청진생등심,서울특별시 강동구 올림픽로78길 15-5
서울특별시,강동구,옛날불고기,서울특별시 강동구 상암로12길 4
서울특별시,강동구,암사족발,서울특별시 강동구 상암로 28
서울특별시,강동구,버섯잔치집,서울특별시 강동구 성내로 52 
서울특별시,강동구,마곡닭한마리강동직역점,서울특별시 강동구 성내로5길29
서울특별시,강동구,그램그램(둔촌역점),서울특별시 강동구 풍성로 204
서울특별시,강동구,황제짬뽕,서울특별시 강동구 성내로6길14-11 
서울특별시,강동구,청년다방,서울특별시 강동구 성내로 66
서울특별시,강동구,장원삼계탕,서울특별시 강동구 성안로3길 116
서울특별시,강동구,순정키친,서울특별시 강동구 천호대로 1089 
서울특별시,강동구,전주가,서울특별시 강동구 성내로8길 9-20
서울특별시,강동구,어전,서울특별시 강동구 성안로3길 112-5
서울특별시,강동구,청해수사,서울특별시 강동구 성내동 553-14
서울특별시,강동구,고석정,서울특별시 강동구 성내로 8-14
서울특별시,강동구,백제추어탕,서울특별시 강동구 양재대로 1406
서울특별시,강동구,농협안심한우마을,서울특별시 강동구 양재대로 1422
서울특별시,강동구,산장가든,서울특별시 강동구 동남로49길 26
서울특별시,강동구,육대장강동성심병원점,서울특별시 강동구 성안로 158
서울특별시,강동구,완도바다,서울특별시 강동구 성안로 182
서울특별시,강동구,천호점로니로티,서울특별시 강동구 천호대로 1027
서울특별시,강동구,서울진우동덮밥,서울특별시 강동구 성내동 539
서울특별시,강동구,한우촌돼지마을&간장게장,서울특별시 강동구 양재대로 1534 
서울특별시,강동구,송가네,서울특별시 강동구 동남로75길 13 
서울특별시,강동구,닐리비스트로,서울특별시 강동구 동남로73길 31
서울특별시,강동구,김선장횟집,서울특별시 올림픽로98길 49 
서울특별시,강동구,아름다운제주돈,서울특별시 강동구 고덕로38길 39
서울특별시,강동구,"원할머니보쌈,족발&박가부대암사점",서울특별시 올림픽로 814 
서울특별시,강동구,카레식당이토야본점,서울특별시 올림픽로 821
서울특별시,강동구,소쿡한마리정육식당,서울특별시 강동구 상암로 32
서울특별시,강동구,선사복집,서울특별시 올림픽로 811 
서울특별시,강동구,드딜라이트,서울특별시 암사동 441번지 
서울특별시,강동구,황토추어탕,서울특별시 강동구 성안로 7-12 
